Feature,Importance
Turbidity_NTU,0.62303585
Dissolved_Oxygen_mg_L,0.1377137
pH,0.09171774
Chloride_mg_L,0.055706564
Metal_Index,0.023389433
BOD_mg_L,0.01930318
Conductivity_uS_cm,0.01875811
Hardness_mg_L,0.014894307
E_Coli_CFU_100mL,0.0030204086
Turbidity_Log,0.002239742
DO_pH_Interaction,0.0022315476
Microbial_Load,0.0021104268
WQI_rolling_7d,0.001830615
Redox_Indicator,0.0005641152
E_Coli_Ratio,0.0005526031
Total_Coliform_CFU_100mL,0.00039381193
Suspended_Matter_Index,0.00036070007
Nitrate_mg_L,0.00033578626
COD_mg_L,0.00018652681
WQI_rolling_std,0.0001770362
Ammonia_mg_L,0.00015282845
Dissolved_Oxygen_mg_L_rolling_7d,0.00013114653
Turbidity_NTU_rolling_std,0.00013070642
Manganese_mg_L,0.0001221609
Organic_Load,0.00010184962
WQI_rolling_30d,8.668035e-05
Iron_mg_L,7.395665e-05
Dissolved_Oxygen_mg_L_rolling_30d,7.276165e-05
Month_sin,6.588613e-05
Phosphate_mg_L,6.345432e-05
Turbidity_NTU_rolling_30d,5.0576225e-05
Pollutant_Index,4.4784054e-05
Ion_Balance,4.1324212e-05
Turbidity_NTU_rolling_7d,3.728327e-05
Temperature_C,3.4057157e-05
pH_rolling_7d,3.085032e-05
Hardness_Conductivity_Ratio,3.0432691e-05
DayOfWeek_cos,2.9710958e-05
DayOfWeek_sin,2.9655412e-05
Sulfate_mg_L,2.9466077e-05
Nutrient_Index,2.758628e-05
BOD_COD_Ratio,2.7397402e-05
Dissolved_Oxygen_mg_L_rolling_std,2.1155127e-05
pH_rolling_std,2.0801619e-05
pH_rolling_30d,1.8308327e-05
Month_cos,2.9667974e-06
